Denumire joc,url,categorie,pegi,imagine,video
Ace,https://www.meta.com/experiences/ace/7092793504141552/,"Shooter, Simulation",7,,https://youtu.be/HFE7eTBUarM
Angry birds,https://www.meta.com/experiences/angry-birds-vr-isle-of-pigs/2718606324833775/,"Kids, Adventure",3,,https://youtu.be/Mvayr6acU0g?si=q-ezTAvB6Ws2CPmx
Arizona Sunshine,https://www.meta.com/experiences/arizona-sunshine/2190353671014400/,"Shooter, Action, Zombie",18,,https://youtu.be/6SJ43LDoOPY?si=Q_YxbrdYfQORS2op
Asgard's Wrath,https://www.meta.com/experiences/asgards-wrath-2/2603836099654226/,"Action, Adventure, Fight",18,,https://youtu.be/3SYJeM_LaZ0
Assassin's Creed,https://www.meta.com/experiences/assassins-creed-nexus-vr/5812519008825194/,"Action, Adventure",18,,https://youtu.be/6qjhB9xeELo?si=f-T6mYA_AUx-lvV2
Bonelab,https://www.meta.com/experiences/bonelab/4215734068529064/,"Shooter, Action",18,,https://youtu.be/UzximcHLn34?si=-6qgcz9zorZtvGB7
Battle Talent,https://www.meta.com/experiences/battle-talent/8752849024786000/,"Action, Adventure",18,,https://www.youtube.com/watch?v=33_ZszGQXUc
Beat Saber,https://www.meta.com/experiences/beat-saber/2448060205267927/,"Action, Simulation, Kids",3,,https://youtu.be/IfVzeg2iNAQ?si=pkaPZPBnaIkW3M6L
Blueplanet,https://www.meta.com/experiences/blueplanet-vr-explore-v25/3422717251188752/,"Simulation, Kids, Explore",3,,https://youtu.be/DiXqe3nDDRI?si=GpQm6h9QLyqsl0E9
Bulletstorm,https://www.meta.com/experiences/bulletstorm-vr/6565887093433499/,"Shooter, Action, Adventure",18,,https://www.youtube.com/watch?v=YUc6hNaZuJ4
Contractors,https://www.meta.com/experiences/contractors/2436897736439055/,"Shooter, Action",18,,https://youtu.be/ZvrZPVSuSDU
Contractors Showdown,https://www.meta.com/experiences/contractors-showdown-exfilzone/4963431797114722/,"Shooter, Action, Simulation",18,,https://www.youtube.com/watch?v=-umOG8MkZzA
Creed: Rise to Glory,https://www.meta.com/experiences/creed-rise-to-glory-championship-edition/2366245336750543/,"Fight, Action, Simulation, Sport",16,,https://www.youtube.com/watch?v=Az14PAevsFc
Crisis Brigade 2 reloaded,https://www.meta.com/experiences/crisis-brigade-2-reloaded/5081572398619813/,"Shooter, Action",18,,https://www.youtube.com/watch?v=uGmQN8q7KG4&pp=ygUbbWV0YSBxdWVzdCAzIENyaXNpcyBCcmlnYWRl
Doom3Quest,,"Shooter, Survival, Zombie",12,,https://youtu.be/rYPbYvZcl_c
Eleven Table Tennis,https://www.meta.com/experiences/eleven-table-tennis/1995434190525828/,"Kids, Simulation, Sport",3,,https://www.youtube.com/watch?v=XkiNUDPIgVg&pp=ygUgbWV0YSBxdWVzdCAzIEVsZXZlbiBUYWJsZSBUZW5uaXM%3D
Elven Assassin,https://www.meta.com/experiences/elven-assassin/2325731427501921/,"Shooter, Action, Fight",12,,https://www.youtube.com/watch?v=D94cNMNyMy4
Escape Simulator,https://www.meta.com/experiences/escape-simulator/6960826027306377/,"Simulation, Adventure, Kids",3,,https://youtu.be/iNW-hMBFvMM
Five Nights at Freddy's,https://www.meta.com/experiences/five-nights-at-freddys-help-wanted/3162101440489458/,"Horror, Survival",12,,https://www.youtube.com/watch?v=-tJzG0QleXU
Formula X,https://www.meta.com/experiences/formulax/7489362241082663/,"Drive, Sport, Kids",3,,https://youtu.be/TezuOl1UymU
Fruit Ninja,https://www.meta.com/experiences/fruit-ninja/2215140511885250/,"Kids, Action",3,,https://www.youtube.com/watch?v=PyQFEPbCpWA
Golfplus,https://www.meta.com/experiences/golf/2412327085529357/,"Simulation, Sport, Kids",12,,https://www.youtube.com/watch?v=zxU4lOF3ZSA
Grid Legends,https://www.meta.com/experiences/grid-legends/7252497758125048/,"Sport, Drive, Kids",3,,https://www.youtube.com/watch?v=3u2Pny-kbCk
Grim,https://www.meta.com/experiences/grim/6488902397838458/,"Shooter, Action, Survival",16,,https://youtu.be/AMkNDtF3E6k
Gun CLUB,https://www.meta.com/experiences/gun-club-vr/2285803881494677/,"Shooter, Action, Simulation",7,,https://youtu.be/eSjd4Rcq48Y
Hitman 3,https://www.meta.com/experiences/hitman-3-vr-reloaded/8012387035448196/,"Action, Adventure, Fight",18,,https://youtu.be/WM413rWO9IA
Half Life:Alyx Refuge,,"Horror, Shooter",12,https://img.youtube.com/vi/u0K-LTJxVyI/maxresdefault.jpg,https://youtu.be/GA5lMxtWrYU?si=MDisyaEUSxZtCPLt
Hunt Together,https://www.meta.com/experiences/hunt-together/4404934906269269/,"Action, Horror",12,,https://www.youtube.com/watch?v=LRv-N5W8O-A
Job Simulator,https://www.meta.com/experiences/job-simulator/3235570703151406/,"Simulation, Kids, Action",3,,https://youtu.be/O2tvoeJxLSU
Journey to Foundation,https://www.meta.com/experiences/journey-to-foundation/4822681107767272/,"Adventure, Simulation",16,,https://youtu.be/BN6OH5K2nGE
Marvel's Iron Man,https://www.meta.com/experiences/marvels-iron-man-vr/5017327094985781/,"Action, Adventure",12,,https://www.youtube.com/watch?v=pYA0i3WjYoQ
Metro Awakening,https://www.meta.com/experiences/metro-awakening/5096918017089406/,"Action, Horror, Shooter",16,,https://www.youtube.com/watch?v=X3GOkKkAW7U
Moss,https://www.meta.com/experiences/moss/1654565391314903/,"Adventure, Action, Kids",7,,https://www.youtube.com/watch?v=28vBtAAs0II
PreyVR,,"Zombie, Horror",12,https://img.youtube.com/vi/FJl_9Fq0rFw/maxresdefault.jpg,https://youtu.be/FJl_9Fq0rFw?si=ZMHdDWlL4ZyNxYhL
Quake,,"Shooter, Horror",12,https://img.youtube.com/vi/2Z_ns5kwNZk/maxresdefault.jpg,https://youtu.be/2Z_ns5kwNZk?si=3X67lMxycWfXv8yz
Resident Evil,,"Zombie, Horror",12,,https://youtu.be/qTIizcuSdHg
Superhot,https://www.meta.com/experiences/superhot-vr/1921533091289407/,"Shooter, Action",12,,https://youtu.be/HujoIiC73ws
Sniper Elite,https://www.meta.com/experiences/sniper-elite-vr/2544573735586536/,"Shooter, Action",16,,https://www.youtube.com/watch?v=WywMguKvOgo
The Walking Dead,,"Zombie, Shooter, Horror",12,,https://youtu.be/zmfx_0gAiZ4
Tropico,https://www.meta.com/experiences/tropico/6257074614332373/,"Simulation, Kids",16,,https://youtu.be/G1jsov1giCU
Vader Immortal: Episode I,https://www.meta.com/experiences/vader-immortal-episode-i/2108775495884888/,Action,16,,https://www.youtube.com/watch?v=1sfgyW6o9yk&pp=ygUmbWV0YSBxdWVzdCAzIFZhZGVyIEltbW9ydGFsOiBFcGlzb2RlIEk%3D
Vader Immortal: Episode II,https://www.meta.com/experiences/vader-immortal-episode-ii/2223615721048141/,Action,16,,https://www.youtube.com/watch?v=YN3zuf6CkU0&pp=ygUnbWV0YSBxdWVzdCAzIFZhZGVyIEltbW9ydGFsOiBFcGlzb2RlIElJ
Vader Immortal: Episode III,https://www.meta.com/experiences/vader-immortal-episode-iii/2426206484098337/,Action,16,,https://www.youtube.com/watch?v=GMCZsJm5nOQ&pp=ygUobWV0YSBxdWVzdCAzIFZhZGVyIEltbW9ydGFsOiBFcGlzb2RlIElJSQ%3D%3D
Vampire,https://www.meta.com/experiences/vampire-the-masquerade-justice/6179032068838054/,"Action, Fight",18,,https://www.youtube.com/watch?v=EOkoStz19yo
War of Wizards,https://www.meta.com/experiences/war-of-wizards/7865834933488042/,"Fight, Action",7,,https://www.youtube.com/watch?v=BcGR1CHFgt4
Warhammer,https://www.meta.com/experiences/warhammer-40000-battle-sister/3231001163584154/,"Shooter, Action",16,,https://www.youtube.com/watch?v=nY0oQYG3pOc